run_id	step	epsilon
breakout_1656253812_89b07dc8	0	1
breakout_1656253812_89b07dc8	3	1
breakout_1656253812_89b07dc8	6	1
breakout_1656253812_89b07dc8	8	0.99
breakout_1656253812_89b07dc8	11	0.99
breakout_1656253812_89b07dc8	13	0.99
breakout_1656253812_89b07dc8	16	0.99
breakout_1656253812_89b07dc8	18	0.99
breakout_1656253812_89b07dc8	21	0.99
breakout_1656253812_89b07dc8	23	0.99
breakout_1656253812_89b07dc8	26	0.99
breakout_1656253812_89b07dc8	28	0.9801
breakout_1656253812_89b07dc8	31	0.9801
breakout_1656253812_89b07dc8	33	0.9801
breakout_1656253812_89b07dc8	36	0.9801
breakout_1656253812_89b07dc8	39	0.9801
breakout_1656253812_89b07dc8	41	0.9801
breakout_1656253812_89b07dc8	44	0.9702989999999999
breakout_1656253812_89b07dc8	46	0.9702989999999999
breakout_1656253812_89b07dc8	49	0.9702989999999999
breakout_1656253812_89b07dc8	51	0.9702989999999999
breakout_1656253812_89b07dc8	54	0.9702989999999999
breakout_1656253812_89b07dc8	56	0.96059601
breakout_1656253812_89b07dc8	59	0.96059601
breakout_1656253812_89b07dc8	61	0.96059601
breakout_1656253812_89b07dc8	64	0.9509900498999999
breakout_1656253812_89b07dc8	66	0.9509900498999999
breakout_1656253812_89b07dc8	69	0.9509900498999999
breakout_1656253812_89b07dc8	72	0.9414801494009999
breakout_1656253812_89b07dc8	74	0.9414801494009999
breakout_1656253812_89b07dc8	77	0.9414801494009999
breakout_1656253812_89b07dc8	79	0.8179069375972307
breakout_1656253812_89b07dc8	82	0.8179069375972307
breakout_1656253812_89b07dc8	84	0.8179069375972307
breakout_1656253812_89b07dc8	87	0.8179069375972307
breakout_1656253812_89b07dc8	89	0.8179069375972307
breakout_1656253812_89b07dc8	92	0.8179069375972307
breakout_1656253812_89b07dc8	94	0.8179069375972307
breakout_1656253812_89b07dc8	97	0.8097278682212583
breakout_1656253812_89b07dc8	99	0.8097278682212583
breakout_1656253812_89b07dc8	102	0.8097278682212583
breakout_1656253812_89b07dc8	105	0.8097278682212583
breakout_1656253812_89b07dc8	107	0.8097278682212583
breakout_1656253812_89b07dc8	110	0.8016305895390458
breakout_1656253812_89b07dc8	112	0.8016305895390458
breakout_1656253812_89b07dc8	115	0.8016305895390458
breakout_1656253812_89b07dc8	117	0.8016305895390458
breakout_1656253812_89b07dc8	120	0.8016305895390458
breakout_1656253812_89b07dc8	122	0.7936142836436553
breakout_1656253812_89b07dc8	125	0.7936142836436553
breakout_1656253812_89b07dc8	127	0.7936142836436553
breakout_1656253812_89b07dc8	130	0.7936142836436553
breakout_1656253812_89b07dc8	132	0.7936142836436553
breakout_1656253812_89b07dc8	135	0.7936142836436553
breakout_1656253812_89b07dc8	138	0.7936142836436553
breakout_1656253812_89b07dc8	140	0.7936142836436553
breakout_1656253812_89b07dc8	143	0.7856781408072188
breakout_1656253812_89b07dc8	145	0.7856781408072188
breakout_1656253812_89b07dc8	148	0.7856781408072188
breakout_1656253812_89b07dc8	150	0.6894490858690777
breakout_1656253812_89b07dc8	153	0.682554595010387
breakout_1656253812_89b07dc8	155	0.682554595010387
breakout_1656253812_89b07dc8	158	0.682554595010387
breakout_1656253812_89b07dc8	160	0.682554595010387
breakout_1656253812_89b07dc8	163	0.682554595010387
