run_id	step	loss
breakout_1656253812_89b07dc8	0	
breakout_1656253812_89b07dc8	3	
breakout_1656253812_89b07dc8	6	
breakout_1656253812_89b07dc8	8	
breakout_1656253812_89b07dc8	11	
breakout_1656253812_89b07dc8	13	
breakout_1656253812_89b07dc8	16	
breakout_1656253812_89b07dc8	18	
breakout_1656253812_89b07dc8	21	
breakout_1656253812_89b07dc8	23	
breakout_1656253812_89b07dc8	26	
breakout_1656253812_89b07dc8	28	
breakout_1656253812_89b07dc8	31	
breakout_1656253812_89b07dc8	33	
breakout_1656253812_89b07dc8	36	
breakout_1656253812_89b07dc8	39	
breakout_1656253812_89b07dc8	41	
breakout_1656253812_89b07dc8	44	
breakout_1656253812_89b07dc8	46	
breakout_1656253812_89b07dc8	49	
breakout_1656253812_89b07dc8	51	
breakout_1656253812_89b07dc8	54	
breakout_1656253812_89b07dc8	56	
breakout_1656253812_89b07dc8	59	
breakout_1656253812_89b07dc8	61	
breakout_1656253812_89b07dc8	64	
breakout_1656253812_89b07dc8	66	
breakout_1656253812_89b07dc8	69	
breakout_1656253812_89b07dc8	72	
breakout_1656253812_89b07dc8	74	
breakout_1656253812_89b07dc8	77	
breakout_1656253812_89b07dc8	79	
breakout_1656253812_89b07dc8	82	
breakout_1656253812_89b07dc8	84	
breakout_1656253812_89b07dc8	87	
breakout_1656253812_89b07dc8	89	
breakout_1656253812_89b07dc8	92	
breakout_1656253812_89b07dc8	94	0.24827424506656826
breakout_1656253812_89b07dc8	97	0.1922703532036394
breakout_1656253812_89b07dc8	99	0.15548080537701026
breakout_1656253812_89b07dc8	102	0.13870376904378645
breakout_1656253812_89b07dc8	105	0.2690233499160968
breakout_1656253812_89b07dc8	107	0.12264303688425571
breakout_1656253812_89b07dc8	110	0.5549650898319669
breakout_1656253812_89b07dc8	112	0.16999776096781716
breakout_1656253812_89b07dc8	115	0.24372903280891478
breakout_1656253812_89b07dc8	117	0.16154501133132726
breakout_1656253812_89b07dc8	120	0.2864840629626997
breakout_1656253812_89b07dc8	122	0.3599430351750925
breakout_1656253812_89b07dc8	125	0.20771610166411847
breakout_1656253812_89b07dc8	127	36.12618424546963
breakout_1656253812_89b07dc8	130	0.1808010635431856
breakout_1656253812_89b07dc8	132	0.15360681698075496
breakout_1656253812_89b07dc8	135	0.09763477183878422
breakout_1656253812_89b07dc8	138	0.1490985921700485
breakout_1656253812_89b07dc8	140	0.24088289035717025
breakout_1656253812_89b07dc8	143	0.13782443551463075
breakout_1656253812_89b07dc8	145	0.17758943664375693
breakout_1656253812_89b07dc8	148	0.26631301871384494
breakout_1656253812_89b07dc8	150	0.1529470896057319
breakout_1656253812_89b07dc8	153	0.15431276833987795
breakout_1656253812_89b07dc8	155	0.1982660772628151
breakout_1656253812_89b07dc8	158	0.24174868297996
breakout_1656253812_89b07dc8	160	0.16227600997081026
breakout_1656253812_89b07dc8	163	0.2656541619217023
breakout_1656253812_89b07dc8	165	0.42538650252390653
breakout_1656253812_89b07dc8	168	0.20594606432132423
breakout_1656253812_89b07dc8	171	0.21972613572143018
breakout_1656253812_89b07dc8	173	0.0924887924338691
breakout_1656253812_89b07dc8	176	0.3167637254809961
breakout_1656253812_89b07dc8	178	0.255642453674227
breakout_1656253812_89b07dc8	181	0.36172753671417013
breakout_1656253812_89b07dc8	183	0.18292684835614637
breakout_1656253812_89b07dc8	186	0.1296666570706293
breakout_1656253812_89b07dc8	188	0.2840093166742008
breakout_1656253812_89b07dc8	191	0.30879446637118235
breakout_1656253812_89b07dc8	193	0.24569968250580132
breakout_1656253812_89b07dc8	196	0.29448831599438563
breakout_1656253812_89b07dc8	198	0.21408651606179774
breakout_1656253812_89b07dc8	201	0.28093409960274585
breakout_1656253812_89b07dc8	204	0.2590419289190322
breakout_1656253812_89b07dc8	206	0.16212069743778557
breakout_1656253812_89b07dc8	209	0.22898479894502088
breakout_1656253812_89b07dc8	211	0.20415051985764876
breakout_1656253812_89b07dc8	214	0.24257829948328435
breakout_1656253812_89b07dc8	216	0.31420635763788596
breakout_1656253812_89b07dc8	219	0.27793664869386703
breakout_1656253812_89b07dc8	221	0.23818729701451957
breakout_1656253812_89b07dc8	224	0.3228777293697931
breakout_1656253812_89b07dc8	226	0.1851482304628007
breakout_1656253812_89b07dc8	229	0.24423383362591267
breakout_1656253812_89b07dc8	231	0.23888265516143292
breakout_1656253812_89b07dc8	234	0.24588232013047673
breakout_1656253812_89b07dc8	237	0.28376089019002393
breakout_1656253812_89b07dc8	239	0.34329591097775847
breakout_1656253812_89b07dc8	242	0.2423242547083646
breakout_1656253812_89b07dc8	244	0.3841214309213683
breakout_1656253812_89b07dc8	247	0.31996680493466556
breakout_1656253812_89b07dc8	249	0.3159779808484018
breakout_1656253812_89b07dc8	252	0.3034118116775062
breakout_1656253812_89b07dc8	254	0.2111537593882531
breakout_1656253812_89b07dc8	257	0.24470832091174088
breakout_1656253812_89b07dc8	259	0.22385645302711055
breakout_1656253812_89b07dc8	262	0.35435883433092386
breakout_1656253812_89b07dc8	264	0.36319594003725797
breakout_1656253812_89b07dc8	267	0.4347021549474448
breakout_1656253812_89b07dc8	270	0.2691648396430537
breakout_1656253812_89b07dc8	272	0.28510505630401894
breakout_1656253812_89b07dc8	275	0.3114644883899018
breakout_1656253812_89b07dc8	277	0.34169796598143876
breakout_1656253812_89b07dc8	280	0.39457003551069647
breakout_1656253812_89b07dc8	282	0.21066375251393765
breakout_1656253812_89b07dc8	285	0.5004812056431547
breakout_1656253812_89b07dc8	287	0.2481383554986678
breakout_1656253812_89b07dc8	290	0.26276760385371745
breakout_1656253812_89b07dc8	292	0.2131326003873255
breakout_1656253812_89b07dc8	295	0.44643067580182105
breakout_1656253812_89b07dc8	297	0.23166906950064003
breakout_1656253812_89b07dc8	300	0.26257566158892587
breakout_1656253812_89b07dc8	303	0.2778600776800886
breakout_1656253812_89b07dc8	305	0.24567643780028448
breakout_1656253812_89b07dc8	308	0.3620679525192827
breakout_1656253812_89b07dc8	310	0.34072530118282884
breakout_1656253812_89b07dc8	313	0.39141470775939524
breakout_1656253812_89b07dc8	315	0.3307143898564391
breakout_1656253812_89b07dc8	318	0.18275558721506968
breakout_1656253812_89b07dc8	320	0.19630201195832342
breakout_1656253812_89b07dc8	323	0.2755164489499293
breakout_1656253812_89b07dc8	325	0.21823198697529733
breakout_1656253812_89b07dc8	328	0.29718391178175807
breakout_1656253812_89b07dc8	330	0.31908272684086114
breakout_1656253812_89b07dc8	333	0.26358465681551024
breakout_1656253812_89b07dc8	336	0.28888032567920163
breakout_1656253812_89b07dc8	338	0.417194047535304
breakout_1656253812_89b07dc8	341	0.2937080404954031
breakout_1656253812_89b07dc8	343	0.35952350607840344
breakout_1656253812_89b07dc8	346	0.21452976309228688
breakout_1656253812_89b07dc8	348	0.3387509658350609
breakout_1656253812_89b07dc8	351	0.27115660056006163
breakout_1656253812_89b07dc8	353	0.2628594144480303
breakout_1656253812_89b07dc8	356	0.5401618499890901
breakout_1656253812_89b07dc8	358	0.22520664252806455
breakout_1656253812_89b07dc8	361	0.3178289048955776
breakout_1656253812_89b07dc8	363	0.32566806918475777
breakout_1656253812_89b07dc8	366	0.2831479344749823
breakout_1656253812_89b07dc8	369	0.37925809813896194
breakout_1656253812_89b07dc8	371	0.38648471247870475
breakout_1656253812_89b07dc8	374	0.45749973005149513
breakout_1656253812_89b07dc8	376	0.3056490074377507
breakout_1656253812_89b07dc8	379	0.1841318430379033
breakout_1656253812_89b07dc8	381	0.23213043564464897
breakout_1656253812_89b07dc8	384	0.2578077787766233
breakout_1656253812_89b07dc8	386	0.6609509390546009
breakout_1656253812_89b07dc8	389	0.3170086321188137
breakout_1656253812_89b07dc8	391	0.2940909821772948
breakout_1656253812_89b07dc8	394	0.3542186244158074
breakout_1656253812_89b07dc8	396	39.608749602135504
breakout_1656253812_89b07dc8	399	0.26738705101888627
breakout_1656253812_89b07dc8	402	0.29999022925039753
breakout_1656253812_89b07dc8	404	0.2410191577509977
breakout_1656253812_89b07dc8	407	0.29403891385300085
breakout_1656253812_89b07dc8	409	0.30690113324089907
breakout_1656253812_89b07dc8	412	0.3780483127338812
breakout_1656253812_89b07dc8	414	0.258003372233361
breakout_1656253812_89b07dc8	417	0.19870259013259783
breakout_1656253812_89b07dc8	419	0.34722378570586443
breakout_1656253812_89b07dc8	422	0.14732341171475127
breakout_1656253812_89b07dc8	424	0.2748423029552214
breakout_1656253812_89b07dc8	427	0.3791679040296003
breakout_1656253812_89b07dc8	429	0.25877208512974903
breakout_1656253812_89b07dc8	432	0.2349138316931203
breakout_1656253812_89b07dc8	434	0.41344095062231645
breakout_1656253812_89b07dc8	437	0.45287835254566744
breakout_1656253812_89b07dc8	440	0.3587702543591149
breakout_1656253812_89b07dc8	442	0.30726659134961665
breakout_1656253812_89b07dc8	445	0.3082350885379128
breakout_1656253812_89b07dc8	447	0.19919197951094247
breakout_1656253812_89b07dc8	450	0.1799505424569361
breakout_1656253812_89b07dc8	452	0.43529663467779756
breakout_1656253812_89b07dc8	455	0.34521611488889903
breakout_1656253812_89b07dc8	457	0.30765680357581005
breakout_1656253812_89b07dc8	460	0.4254048341535963
breakout_1656253812_89b07dc8	462	0.24187620705924928
breakout_1656253812_89b07dc8	465	0.31946734024677426
breakout_1656253812_89b07dc8	467	0.3915344186825678
breakout_1656253812_89b07dc8	470	0.3115609908127226
breakout_1656253812_89b07dc8	473	0.2015190542442724
breakout_1656253812_89b07dc8	475	0.2273993247654289
breakout_1656253812_89b07dc8	478	0.31093436054652557
breakout_1656253812_89b07dc8	480	0.3897661927039735
breakout_1656253812_89b07dc8	483	0.3086716116522439
breakout_1656253812_89b07dc8	485	0.3854320409009233
breakout_1656253812_89b07dc8	488	0.2520352850551717
breakout_1656253812_89b07dc8	490	0.35833686380647123
breakout_1656253812_89b07dc8	493	0.2686458838288672
breakout_1656253812_89b07dc8	495	0.3615660291397944
breakout_1656253812_89b07dc8	498	0.2213209587498568
breakout_1656253812_89b07dc8	500	0.4001674890751019
breakout_1656253812_89b07dc8	503	0.4175656719307881
breakout_1656253812_89b07dc8	506	0.4578810446546413
breakout_1656253812_89b07dc8	508	0.3808262140955776
breakout_1656253812_89b07dc8	511	0.30788385635241866
breakout_1656253812_89b07dc8	513	0.2861922981683165
breakout_1656253812_89b07dc8	516	0.39243312733015046
breakout_1656253812_89b07dc8	518	0.38412832777248695
breakout_1656253812_89b07dc8	521	0.3535919700516388
breakout_1656253812_89b07dc8	523	0.3591665293206461
breakout_1656253812_89b07dc8	526	0.408148045593407
breakout_1656253812_89b07dc8	528	0.41456007945816964
breakout_1656253812_89b07dc8	531	0.24713680607965216
breakout_1656253812_89b07dc8	533	0.4204998975619674
breakout_1656253812_89b07dc8	536	0.4418261907994747
breakout_1656253812_89b07dc8	539	0.2650662848027423
breakout_1656253812_89b07dc8	541	0.587937509699259
breakout_1656253812_89b07dc8	544	0.5530109615065157
breakout_1656253812_89b07dc8	546	0.45108974631875753
breakout_1656253812_89b07dc8	549	0.3677491671987809
breakout_1656253812_89b07dc8	551	0.5121577668469399
breakout_1656253812_89b07dc8	554	0.4000985092134215
breakout_1656253812_89b07dc8	556	0.3865243613254279
breakout_1656253812_89b07dc8	559	0.30113345163408667
breakout_1656253812_89b07dc8	561	0.3039212408475578
breakout_1656253812_89b07dc8	564	0.497998520557303
breakout_1656253812_89b07dc8	566	0.20267425186466426
breakout_1656253812_89b07dc8	569	0.40594602754572406
breakout_1656253812_89b07dc8	572	0.201236289460212
breakout_1656253812_89b07dc8	574	0.315552364627365
breakout_1656253812_89b07dc8	577	0.30532417172798887
breakout_1656253812_89b07dc8	579	0.23360209970269352
breakout_1656253812_89b07dc8	582	0.23964008322218433
breakout_1656253812_89b07dc8	584	0.3734199174796231
breakout_1656253812_89b07dc8	587	0.2670070619205944
breakout_1656253812_89b07dc8	589	0.2678765058517456
breakout_1656253812_89b07dc8	592	0.33405596535885707
breakout_1656253812_89b07dc8	594	0.4309863599482924
breakout_1656253812_89b07dc8	597	0.2072180394316092
breakout_1656253812_89b07dc8	599	0.3218722765450366
breakout_1656253812_89b07dc8	602	0.27821827988373116
breakout_1656253812_89b07dc8	605	0.5431946847238578
breakout_1656253812_89b07dc8	607	0.3935766879003495
breakout_1656253812_89b07dc8	610	0.33207263704389334
breakout_1656253812_89b07dc8	612	0.3484269662294537
breakout_1656253812_89b07dc8	615	0.35184688470326364
breakout_1656253812_89b07dc8	617	0.3357646764488891
breakout_1656253812_89b07dc8	620	0.3518312303349376
breakout_1656253812_89b07dc8	622	0.48710516502615064
breakout_1656253812_89b07dc8	625	0.3320907421875745
breakout_1656253812_89b07dc8	627	0.4275324911577627
breakout_1656253812_89b07dc8	630	0.5146982521982864
breakout_1656253812_89b07dc8	632	0.3887900515110232
breakout_1656253812_89b07dc8	635	0.23573904955992475
breakout_1656253812_89b07dc8	638	0.3329017990035936
breakout_1656253812_89b07dc8	640	0.37600170832592994
breakout_1656253812_89b07dc8	643	0.4059391134651378
breakout_1656253812_89b07dc8	645	0.3947485832613893
breakout_1656253812_89b07dc8	648	0.2875432684086263
breakout_1656253812_89b07dc8	650	0.30757792276563123
breakout_1656253812_89b07dc8	653	0.3116398630081676
breakout_1656253812_89b07dc8	655	0.3873511427664198
breakout_1656253812_89b07dc8	658	0.3342475348035805
breakout_1656253812_89b07dc8	660	0.3938480799552053
breakout_1656253812_89b07dc8	663	0.44832079007755965
breakout_1656253812_89b07dc8	665	0.24361239827703685
breakout_1656253812_89b07dc8	668	0.2546120441984385
breakout_1656253812_89b07dc8	671	0.23424234020058066
breakout_1656253812_89b07dc8	673	0.4767698188079521
breakout_1656253812_89b07dc8	676	0.3104411094682291
breakout_1656253812_89b07dc8	678	0.3324098907178268
breakout_1656253812_89b07dc8	681	0.4256005283095874
breakout_1656253812_89b07dc8	683	0.3004579916014336
breakout_1656253812_89b07dc8	686	0.37014607817400247
breakout_1656253812_89b07dc8	688	0.4278790936805308
breakout_1656253812_89b07dc8	691	0.23442589084152132
breakout_1656253812_89b07dc8	693	0.2327486909343861
breakout_1656253812_89b07dc8	696	0.405000883503817
breakout_1656253812_89b07dc8	698	0.3790674855117686
breakout_1656253812_89b07dc8	701	0.33201778563670814
breakout_1656253812_89b07dc8	704	0.45502412592759356
breakout_1656253812_89b07dc8	706	0.47203935781726614
breakout_1656253812_89b07dc8	709	0.4263149424805306
breakout_1656253812_89b07dc8	711	0.21186107397079468
breakout_1656253812_89b07dc8	714	0.4307982345344499
breakout_1656253812_89b07dc8	716	0.30802821170073
breakout_1656253812_89b07dc8	719	0.4995617466047406
breakout_1656253812_89b07dc8	721	0.3659750650404021
breakout_1656253812_89b07dc8	724	0.4590192675823346
breakout_1656253812_89b07dc8	726	0.31302742089610547
breakout_1656253812_89b07dc8	729	0.39719719759887084
breakout_1656253812_89b07dc8	731	0.456052532652393
breakout_1656253812_89b07dc8	734	0.34260095364879817
breakout_1656253812_89b07dc8	737	0.28781721310224384
breakout_1656253812_89b07dc8	739	0.32538170740008354
breakout_1656253812_89b07dc8	742	0.3312108919490129
breakout_1656253812_89b07dc8	744	0.29856848664348945
breakout_1656253812_89b07dc8	747	0.44517210638150573
breakout_1656253812_89b07dc8	749	0.3874111481709406
breakout_1656253812_89b07dc8	752	0.31399719195906073
breakout_1656253812_89b07dc8	754	0.4690248769475147
breakout_1656253812_89b07dc8	757	0.5474825651035644
breakout_1656253812_89b07dc8	759	0.49997095816070214
breakout_1656253812_89b07dc8	762	0.4872958500054665
breakout_1656253812_89b07dc8	764	0.491609939141199
breakout_1656253812_89b07dc8	767	0.48321840399876237
breakout_1656253812_89b07dc8	770	0.5401385506265797
breakout_1656253812_89b07dc8	772	0.4199570926139131
breakout_1656253812_89b07dc8	775	0.3035968238255009
breakout_1656253812_89b07dc8	777	0.4281687610782683
breakout_1656253812_89b07dc8	780	0.42059052526019514
breakout_1656253812_89b07dc8	782	0.5383713277988136
breakout_1656253812_89b07dc8	785	0.5688115435186774
breakout_1656253812_89b07dc8	787	0.2993333468330093
breakout_1656253812_89b07dc8	790	0.4366995380842127
breakout_1656253812_89b07dc8	792	0.37200618343194947
breakout_1656253812_89b07dc8	795	0.4281042100628838
breakout_1656253812_89b07dc8	797	0.42199792340397835
breakout_1656253812_89b07dc8	800	0.28633990517118946
breakout_1656253812_89b07dc8	803	0.3255468402057886
