run_id	step	reward
breakout_1656253812_89b07dc8	409	2
breakout_1656253812_89b07dc8	412	1
breakout_1656253812_89b07dc8	414	3
breakout_1656253812_89b07dc8	417	3
breakout_1656253812_89b07dc8	419	1
breakout_1656253812_89b07dc8	422	6
breakout_1656253812_89b07dc8	424	1
breakout_1656253812_89b07dc8	427	1
breakout_1656253812_89b07dc8	429	1
breakout_1656253812_89b07dc8	432	4
breakout_1656253812_89b07dc8	434	2
breakout_1656253812_89b07dc8	437	3
breakout_1656253812_89b07dc8	440	2
breakout_1656253812_89b07dc8	442	7
breakout_1656253812_89b07dc8	445	2
breakout_1656253812_89b07dc8	447	6
breakout_1656253812_89b07dc8	450	3
breakout_1656253812_89b07dc8	452	2
breakout_1656253812_89b07dc8	455	11
breakout_1656253812_89b07dc8	457	4
breakout_1656253812_89b07dc8	460	1
breakout_1656253812_89b07dc8	462	3
breakout_1656253812_89b07dc8	465	2
breakout_1656253812_89b07dc8	467	3
breakout_1656253812_89b07dc8	470	3
breakout_1656253812_89b07dc8	473	8
breakout_1656253812_89b07dc8	475	3
breakout_1656253812_89b07dc8	478	1
breakout_1656253812_89b07dc8	480	1
breakout_1656253812_89b07dc8	483	2
breakout_1656253812_89b07dc8	485	4
breakout_1656253812_89b07dc8	488	4
breakout_1656253812_89b07dc8	490	3
breakout_1656253812_89b07dc8	493	2
breakout_1656253812_89b07dc8	495	5
breakout_1656253812_89b07dc8	498	6
breakout_1656253812_89b07dc8	500	4
breakout_1656253812_89b07dc8	503	4
breakout_1656253812_89b07dc8	506	3
breakout_1656253812_89b07dc8	508	4
breakout_1656253812_89b07dc8	511	2
breakout_1656253812_89b07dc8	513	1
breakout_1656253812_89b07dc8	516	3
breakout_1656253812_89b07dc8	518	5
breakout_1656253812_89b07dc8	521	3
breakout_1656253812_89b07dc8	523	2
breakout_1656253812_89b07dc8	526	3
breakout_1656253812_89b07dc8	528	3
breakout_1656253812_89b07dc8	531	3
breakout_1656253812_89b07dc8	533	3
breakout_1656253812_89b07dc8	536	7
breakout_1656253812_89b07dc8	539	3
breakout_1656253812_89b07dc8	541	4
breakout_1656253812_89b07dc8	544	2
breakout_1656253812_89b07dc8	546	1
breakout_1656253812_89b07dc8	549	4
breakout_1656253812_89b07dc8	551	3
breakout_1656253812_89b07dc8	554	3
breakout_1656253812_89b07dc8	556	3
breakout_1656253812_89b07dc8	559	2
breakout_1656253812_89b07dc8	561	5
breakout_1656253812_89b07dc8	564	4
breakout_1656253812_89b07dc8	566	5
breakout_1656253812_89b07dc8	569	6
breakout_1656253812_89b07dc8	572	1
breakout_1656253812_89b07dc8	574	3
breakout_1656253812_89b07dc8	577	5
breakout_1656253812_89b07dc8	579	5
breakout_1656253812_89b07dc8	582	3
breakout_1656253812_89b07dc8	584	6
breakout_1656253812_89b07dc8	587	3
breakout_1656253812_89b07dc8	589	1
breakout_1656253812_89b07dc8	592	3
breakout_1656253812_89b07dc8	594	3
breakout_1656253812_89b07dc8	597	3
breakout_1656253812_89b07dc8	599	2
breakout_1656253812_89b07dc8	602	4
breakout_1656253812_89b07dc8	605	3
breakout_1656253812_89b07dc8	607	4
breakout_1656253812_89b07dc8	610	4
breakout_1656253812_89b07dc8	612	4
breakout_1656253812_89b07dc8	615	2
breakout_1656253812_89b07dc8	617	2
breakout_1656253812_89b07dc8	620	4
breakout_1656253812_89b07dc8	622	4
breakout_1656253812_89b07dc8	625	2
breakout_1656253812_89b07dc8	627	8
breakout_1656253812_89b07dc8	630	4
breakout_1656253812_89b07dc8	632	2
breakout_1656253812_89b07dc8	635	3
breakout_1656253812_89b07dc8	638	3
breakout_1656253812_89b07dc8	640	3
breakout_1656253812_89b07dc8	643	
breakout_1656253812_89b07dc8	645	6
breakout_1656253812_89b07dc8	648	3
breakout_1656253812_89b07dc8	650	5
breakout_1656253812_89b07dc8	653	4
breakout_1656253812_89b07dc8	655	3
breakout_1656253812_89b07dc8	658	6
breakout_1656253812_89b07dc8	660	1
breakout_1656253812_89b07dc8	663	6
breakout_1656253812_89b07dc8	665	3
breakout_1656253812_89b07dc8	668	2
breakout_1656253812_89b07dc8	671	4
breakout_1656253812_89b07dc8	673	1
breakout_1656253812_89b07dc8	676	1
breakout_1656253812_89b07dc8	678	5
breakout_1656253812_89b07dc8	681	6
breakout_1656253812_89b07dc8	683	6
breakout_1656253812_89b07dc8	686	3
breakout_1656253812_89b07dc8	688	7
breakout_1656253812_89b07dc8	691	2
breakout_1656253812_89b07dc8	693	4
breakout_1656253812_89b07dc8	696	3
breakout_1656253812_89b07dc8	698	4
breakout_1656253812_89b07dc8	701	5
breakout_1656253812_89b07dc8	704	6
breakout_1656253812_89b07dc8	706	6
breakout_1656253812_89b07dc8	709	5
breakout_1656253812_89b07dc8	711	5
breakout_1656253812_89b07dc8	714	6
breakout_1656253812_89b07dc8	716	4
breakout_1656253812_89b07dc8	719	3
breakout_1656253812_89b07dc8	721	1
breakout_1656253812_89b07dc8	724	2
breakout_1656253812_89b07dc8	726	2
breakout_1656253812_89b07dc8	729	3
breakout_1656253812_89b07dc8	731	3
breakout_1656253812_89b07dc8	734	4
breakout_1656253812_89b07dc8	737	2
breakout_1656253812_89b07dc8	739	4
breakout_1656253812_89b07dc8	742	6
breakout_1656253812_89b07dc8	744	3
breakout_1656253812_89b07dc8	747	3
breakout_1656253812_89b07dc8	749	3
breakout_1656253812_89b07dc8	752	3
breakout_1656253812_89b07dc8	754	5
breakout_1656253812_89b07dc8	757	4
breakout_1656253812_89b07dc8	759	5
breakout_1656253812_89b07dc8	762	7
breakout_1656253812_89b07dc8	764	3
breakout_1656253812_89b07dc8	767	5
breakout_1656253812_89b07dc8	770	5
breakout_1656253812_89b07dc8	772	6
breakout_1656253812_89b07dc8	775	5
breakout_1656253812_89b07dc8	777	3
breakout_1656253812_89b07dc8	780	5
