run_id	step	reward_sma
breakout_1656253812_89b07dc8	371	2.76
breakout_1656253812_89b07dc8	374	2.77
breakout_1656253812_89b07dc8	376	2.75
breakout_1656253812_89b07dc8	379	2.75
breakout_1656253812_89b07dc8	382	2.76
breakout_1656253812_89b07dc8	384	2.75
breakout_1656253812_89b07dc8	387	2.79
breakout_1656253812_89b07dc8	390	2.86
breakout_1656253812_89b07dc8	392	2.82
breakout_1656253812_89b07dc8	395	2.83
breakout_1656253812_89b07dc8	398	2.85
breakout_1656253812_89b07dc8	400	2.83
breakout_1656253812_89b07dc8	403	2.8
breakout_1656253812_89b07dc8	406	2.78
breakout_1656253812_89b07dc8	408	2.75
breakout_1656253812_89b07dc8	411	2.79
breakout_1656253812_89b07dc8	414	2.75
breakout_1656253812_89b07dc8	416	2.74
breakout_1656253812_89b07dc8	419	2.75
breakout_1656253812_89b07dc8	422	2.73
breakout_1656253812_89b07dc8	424	2.7
breakout_1656253812_89b07dc8	427	2.71
breakout_1656253812_89b07dc8	430	2.76
breakout_1656253812_89b07dc8	432	2.77
breakout_1656253812_89b07dc8	435	2.75
breakout_1656253812_89b07dc8	438	2.84
breakout_1656253812_89b07dc8	440	2.88
breakout_1656253812_89b07dc8	443	2.86
breakout_1656253812_89b07dc8	446	2.82
breakout_1656253812_89b07dc8	448	2.78
breakout_1656253812_89b07dc8	451	2.86
breakout_1656253812_89b07dc8	454	2.83
breakout_1656253812_89b07dc8	456	2.81
breakout_1656253812_89b07dc8	459	2.83
breakout_1656253812_89b07dc8	462	2.86
breakout_1656253812_89b07dc8	464	2.88
breakout_1656253812_89b07dc8	467	2.88
breakout_1656253812_89b07dc8	470	2.87
breakout_1656253812_89b07dc8	472	2.9
breakout_1656253812_89b07dc8	475	2.89
breakout_1656253812_89b07dc8	478	2.89
breakout_1656253812_89b07dc8	480	2.85
breakout_1656253812_89b07dc8	483	2.89
breakout_1656253812_89b07dc8	486	2.94
breakout_1656253812_89b07dc8	488	2.96
breakout_1656253812_89b07dc8	491	2.95
breakout_1656253812_89b07dc8	494	2.98
breakout_1656253812_89b07dc8	496	3.02
breakout_1656253812_89b07dc8	499	3.04
breakout_1656253812_89b07dc8	502	3.03
breakout_1656253812_89b07dc8	504	3.14
breakout_1656253812_89b07dc8	507	3.15
breakout_1656253812_89b07dc8	510	3.16
breakout_1656253812_89b07dc8	512	3.18
breakout_1656253812_89b07dc8	515	3.09
breakout_1656253812_89b07dc8	518	3.09
breakout_1656253812_89b07dc8	520	3.13
breakout_1656253812_89b07dc8	523	3.14
breakout_1656253812_89b07dc8	526	3.09
breakout_1656253812_89b07dc8	528	3.09
breakout_1656253812_89b07dc8	531	3.09
breakout_1656253812_89b07dc8	533	3.08
breakout_1656253812_89b07dc8	536	3.27
breakout_1656253812_89b07dc8	539	3.31
breakout_1656253812_89b07dc8	541	3.33
breakout_1656253812_89b07dc8	544	3.4
breakout_1656253812_89b07dc8	547	3.39
breakout_1656253812_89b07dc8	549	3.41
breakout_1656253812_89b07dc8	552	3.43
breakout_1656253812_89b07dc8	555	3.46
breakout_1656253812_89b07dc8	557	3.52
breakout_1656253812_89b07dc8	560	3.52
breakout_1656253812_89b07dc8	563	3.55
breakout_1656253812_89b07dc8	565	3.59
breakout_1656253812_89b07dc8	568	3.62
breakout_1656253812_89b07dc8	571	3.68
breakout_1656253812_89b07dc8	573	3.74
breakout_1656253812_89b07dc8	576	3.81
breakout_1656253812_89b07dc8	579	3.76
breakout_1656253812_89b07dc8	581	3.72
breakout_1656253812_89b07dc8	584	3.79
breakout_1656253812_89b07dc8	587	3.82
breakout_1656253812_89b07dc8	589	3.81
breakout_1656253812_89b07dc8	592	3.82
breakout_1656253812_89b07dc8	595	3.82
breakout_1656253812_89b07dc8	597	3.82
breakout_1656253812_89b07dc8	600	3.85
breakout_1656253812_89b07dc8	603	3.84
breakout_1656253812_89b07dc8	605	3.85
breakout_1656253812_89b07dc8	608	3.94
breakout_1656253812_89b07dc8	611	3.94
breakout_1656253812_89b07dc8	613	3.88
breakout_1656253812_89b07dc8	616	3.89
breakout_1656253812_89b07dc8	619	3.9
breakout_1656253812_89b07dc8	621	3.95
breakout_1656253812_89b07dc8	624	3.95
breakout_1656253812_89b07dc8	627	3.96
breakout_1656253812_89b07dc8	629	3.96
breakout_1656253812_89b07dc8	632	3.96
breakout_1656253812_89b07dc8	635	3.99
breakout_1656253812_89b07dc8	637	4.01
breakout_1656253812_89b07dc8	640	4.07
breakout_1656253812_89b07dc8	643	4.12
breakout_1656253812_89b07dc8	645	4.11
breakout_1656253812_89b07dc8	648	4.1
breakout_1656253812_89b07dc8	651	4.04
breakout_1656253812_89b07dc8	653	4.06
breakout_1656253812_89b07dc8	656	4.06
breakout_1656253812_89b07dc8	659	3.92
breakout_1656253812_89b07dc8	661	3.98
breakout_1656253812_89b07dc8	664	4.01
breakout_1656253812_89b07dc8	667	4
breakout_1656253812_89b07dc8	669	3.97
breakout_1656253812_89b07dc8	672	3.98
breakout_1656253812_89b07dc8	675	3.89
breakout_1656253812_89b07dc8	677	3.86
breakout_1656253812_89b07dc8	680	3.89
breakout_1656253812_89b07dc8	683	3.87
breakout_1656253812_89b07dc8	685	3.89
breakout_1656253812_89b07dc8	688	3.95
breakout_1656253812_89b07dc8	691	3.97
breakout_1656253812_89b07dc8	693	4
breakout_1656253812_89b07dc8	696	4.03
breakout_1656253812_89b07dc8	699	4.05
breakout_1656253812_89b07dc8	701	4.05
breakout_1656253812_89b07dc8	704	4.07
breakout_1656253812_89b07dc8	707	4.08
breakout_1656253812_89b07dc8	709	4.08
breakout_1656253812_89b07dc8	712	4.15
breakout_1656253812_89b07dc8	715	4.13
breakout_1656253812_89b07dc8	717	4.06
breakout_1656253812_89b07dc8	720	4
breakout_1656253812_89b07dc8	723	4.03
breakout_1656253812_89b07dc8	725	4.04
breakout_1656253812_89b07dc8	728	4.04
